rowid,yearstart,yearend,locationabbr,locationdesc,datasource,class,topic,question,data_value_unit,datavaluetypeid,data_value_type,data_value_footnote_symbol,data_value_footnote,stratificationcategory1,stratification1,stratificationcategory2,stratification2,geolocation,classid,topicid,questionid,locationid,stratificationcategoryid1,stratificationid1,stratificationcategoryid2,stratificationid2,data_value,data_value_alt,low_confidence_limit,high_confidence_limit
BRFSS~2022~2022~51~Q41~TCC03~AGE~RACE,2022,2022,VA,Virginia,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,,,Age Group,Overall,Race/Ethnicity,"White, non-Hispanic","{'type': 'Point', 'coordinates': [-78.45789046299967, 37.54268067400045]}",C06,TCC03,Q41,51,AGE,AGE_OVERALL,RACE,WHT,26.1,26.1,20.7,32.3
BRFSS~2022~2022~50~Q41~TCC03~AGE~RACE,2022,2022,VT,Vermont,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,~,No Data Available,Age Group,65 years or older,Race/Ethnicity,"Black, non-Hispanic","{'type': 'Point', 'coordinates': [-72.51764079099962, 43.62538123900049]}",C06,TCC03,Q41,50,AGE,65PLUS,RACE,BLK,,,,
BRFSS~2022~2022~50~Q30~TCC01~AGE~RACE,2022,2022,VT,Vermont,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,65 years or older,Race/Ethnicity,Asian/Pacific Islander,"{'type': 'Point', 'coordinates': [-72.51764079099962, 43.62538123900049]}",C06,TCC01,Q30,50,AGE,65PLUS,RACE,ASN,,,,
BRFSS~2022~2022~55~Q42~TCC04~AGE~OVERALL,2022,2022,WI,Wisconsin,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,,,Age Group,50-64 years,,,"{'type': 'Point', 'coordinates': [-89.81637074199966, 44.39319117400049]}",C06,TCC04,Q42,55,AGE,5064,OVERALL,OVERALL,52.2,52.2,44.3,59.9
BRFSS~2022~2022~50~Q31~TCC02~AGE~RACE,2022,2022,VT,Vermont,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,~,No Data Available,Age Group,Overall,Race/Ethnicity,"Black, non-Hispanic","{'type': 'Point', 'coordinates': [-72.51764079099962, 43.62538123900049]}",C06,TCC02,Q31,50,AGE,AGE_OVERALL,RACE,BLK,,,,
BRFSS~2022~2022~55~Q31~TCC02~AGE~RACE,2022,2022,WI,Wisconsin,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,~,No Data Available,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,"{'type': 'Point', 'coordinates': [-89.81637074199966, 44.39319117400049]}",C06,TCC02,Q31,55,AGE,65PLUS,RACE,NAA,,,,
BRFSS~2022~2022~51~Q30~TCC01~AGE~RACE,2022,2022,VA,Virginia,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,,,Age Group,65 years or older,Race/Ethnicity,"Black, non-Hispanic","{'type': 'Point', 'coordinates': [-78.45789046299967, 37.54268067400045]}",C06,TCC01,Q30,51,AGE,65PLUS,RACE,BLK,7.9,7.9,4.9,12.4
BRFSS~2022~2022~50~Q30~TCC01~AGE~RACE,2022,2022,VT,Vermont,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,"{'type': 'Point', 'coordinates': [-72.51764079099962, 43.62538123900049]}",C06,TCC01,Q30,50,AGE,AGE_OVERALL,RACE,NAA,,,,
BRFSS~2022~2022~50~Q42~TCC04~AGE~RACE,2022,2022,VT,Vermont,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,Overall,Race/Ethnicity,Hispanic,"{'type': 'Point', 'coordinates': [-72.51764079099962, 43.62538123900049]}",C06,TCC04,Q42,50,AGE,AGE_OVERALL,RACE,HIS,,,,
BRFSS~2022~2022~51~Q41~TCC03~AGE~SEX,2022,2022,VA,Virginia,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,,,Age Group,50-64 years,Sex,Female,"{'type': 'Point', 'coordinates': [-78.45789046299967, 37.54268067400045]}",C06,TCC03,Q41,51,AGE,5064,SEX,FEMALE,28.4,28.4,19.6,39.2
