Year,State_Code,State,Category,Topic,Question,Measure_Type,Unit,Value,CI_Low,CI_High,Stratification_Category,Stratification,Stratification_Category2,Stratification2,Question_Short
2022,WEST,West,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,2.1,0.2,18.2,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,Percentage of older adults with subjective cognitive decline or memory loss who ...
2022,VA,Virginia,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,43.4,33.5,53.9,Age Group,65 years or older,Sex,Male,Percentage of older adults with subjective cognitive decline or memory loss who ...
2022,VA,Virginia,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,9.7,8.1,11.5,Age Group,65 years or older,Sex,Female,Percentage of older adults who reported subjective cognitive decline or memory l...
2022,WI,Wisconsin,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,22.0,18.0,26.7,Age Group,Overall,Race/Ethnicity,"White, non-Hispanic",Percentage of older adults who reported that as a result of subjective cognitive...
2022,WEST,West,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,46.1,38.9,53.5,Age Group,Overall,Sex,Female,Percentage of older adults with subjective cognitive decline or memory loss who ...
2022,VT,Vermont,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,8.2,6.8,9.9,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",Percentage of older adults who reported subjective cognitive decline or memory l...
2022,WI,Wisconsin,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,43.5,36.8,50.5,Age Group,Overall,Sex,Female,Percentage of older adults with subjective cognitive decline or memory loss who ...
2022,WI,Wisconsin,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,52.2,43.5,60.7,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",Percentage of older adults with subjective cognitive decline or memory loss who ...
2022,WEST,West,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,9.3,7.9,11.0,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",Percentage of older adults who reported subjective cognitive decline or memory l...
2022,WI,Wisconsin,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,10.6,9.0,12.5,Age Group,65 years or older,Sex,Female,Percentage of older adults who reported subjective cognitive decline or memory l...
2022,WEST,West,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,Percentage,%,47.7,27.7,68.5,Age Group,65 years or older,Race/Ethnicity,Hispanic,Percentage of older adults who reported subjective cognitive decline or memory l...
2022,WEST,West,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,Percentage,%,20.3,15.6,26.0,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic",Percentage of older adults who reported subjective cognitive decline or memory l...
2022,WEST,West,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,12.7,3.8,34.8,Age Group,Overall,Race/Ethnicity,Asian/Pacific Islander,Percentage of older adults with subjective cognitive decline or memory loss who ...
2022,VT,Vermont,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,49.0,38.5,59.6,Age Group,65 years or older,Sex,Female,Percentage of older adults with subjective cognitive decline or memory loss who ...
2022,WI,Wisconsin,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,19.1,12.6,27.9,Age Group,65 years or older,Sex,Male,Percentage of older adults who reported that as a result of subjective cognitive...
2022,VA,Virginia,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,9.4,8.2,10.9,Age Group,Overall,Sex,Female,Percentage of older adults who reported subjective cognitive decline or memory l...
2022,WI,Wisconsin,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,37.8,31.8,44.2,Age Group,65 years or older,,,Percentage of older adults with subjective cognitive decline or memory loss who ...
2022,WEST,West,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,21.3,11.7,35.6,Age Group,65 years or older,Race/Ethnicity,"Black, non-Hispanic",Percentage of older adults who reported subjective cognitive decline or memory l...
2022,WEST,West,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,45.0,8.8,87.4,Age Group,50-64 years,Race/Ethnicity,Native Am/Alaskan Native,Percentage of older adults who reported that as a result of subjective cognitive...
2022,WEST,West,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,37.0,24.0,52.3,Age Group,Overall,Race/Ethnicity,Hispanic,Percentage of older adults who reported that as a result of subjective cognitive...
2022,WEST,West,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,10.7,9.0,12.6,Age Group,50-64 years,,,Percentage of older adults who reported subjective cognitive decline or memory l...
2022,WEST,West,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,22.4,3.8,67.7,Age Group,65 years or older,Race/Ethnicity,Asian/Pacific Islander,Percentage of older adults who reported that as a result of subjective cognitive...
2022,WEST,West,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,Percentage,%,32.8,25.0,41.7,Age Group,Overall,Sex,Male,Percentage of older adults who reported subjective cognitive decline or memory l...
